#2th	#Int
12.0080	2820.4728
12.0090	2819.2252
12.0100	2817.9777
12.0110	2816.7301
12.0120	2815.4826
12.0130	2814.2350
12.0140	2812.9875
12.0150	2811.7399
12.0160	2810.4924
12.0170	2809.2448
12.0180	2807.9973
12.0190	2806.9306
12.0200	2804.0298
12.0210	2805.5477
12.0220	2803.8810
12.0230	2804.4167
12.0240	2806.1072
12.0250	2806.2449
12.0260	2807.5941
12.0270	2806.9798
12.0280	2806.2706
12.0290	2804.1635
12.0300	2804.1635
12.0310	2806.0002
12.0320	2807.2672
12.0330	2806.6849
12.0340	2808.5756
12.0350	2808.0451
12.0360	2809.4559
12.0370	2808.3827
12.0380	2809.1984
12.0390	2810.7183
12.0400	2811.3468
12.0410	2811.7618
12.0420	2811.3825
12.0430	2813.4897
12.0440	2814.1683
12.0450	2814.5683
12.0460	2812.7797
12.0470	2814.8829
12.0480	2816.2829
12.0490	2814.0992
12.0500	2812.3373
12.0510	2809.1512
12.0520	2805.9484
12.0530	2803.8690
12.0540	2804.8535
12.0550	2804.7464
12.0560	2805.9488
12.0570	2804.1631
12.0580	2804.9369
12.0590	2804.6260
12.0600	2804.5712
12.0610	2802.8902
12.0620	2800.9277
12.0630	2800.3783
12.0640	2801.0069
12.0650	2800.1058
12.0660	2798.0904
12.0670	2798.0878
12.0680	2796.5937
12.0690	2794.6223
12.0700	2794.8332
12.0710	2797.0276
12.0720	2798.2900
12.0730	2800.0370
12.0740	2800.0529
12.0750	2799.0945
12.0760	2797.0707
12.0770	2796.6898
12.0780	2798.1259
12.0790	2796.5425
12.0800	2795.7854
12.0810	2796.0289
12.0820	2797.3146
12.0830	2798.9194
12.0840	2797.5367
12.0850	2796.6860
12.0860	2797.7299
12.0870	2797.1786
12.0880	2797.8479
12.0890	2799.0206
12.0900	2796.4563
12.0910	2796.4395
12.0920	2797.0992
12.0930	2797.3516
12.0940	2796.3312
12.0950	2796.1748
12.0960	2797.2521
12.0970	2796.7712
12.0980	2798.1045
12.0990	2798.5970
12.1000	2798.6327
12.1010	2797.7232
12.1020	2798.2725
12.1030	2798.3439
12.1040	2798.0328
12.1050	2797.8464
12.1060	2797.0600
12.1070	2795.0660
12.1080	2796.7156
12.1090	2795.7394
12.1100	2793.2672
12.1110	2795.2587
12.1120	2796.1217
